Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|ANT06-05ub archaeonub archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEGAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEGub methanogenic archaeonub methanogenic archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEG,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial groupub crenarchaeoteub crenarchaeoteub crenarchaeoteub crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial groupub thaumarchaeoteub thaumarchaeoteub thaumarchaeoteub thaumarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial group,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Marine Group Iubububub,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Marine Group I,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGAmtAmtAmtAmt,0,0,90,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG|Unknown Order|Unknown Family|Candidatus Nitrososphaeraub archaeon,0,0,0,0,0,0,0,36,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG|Unknown Order|Unknown Family|Candidatus Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGub crenarchaeoteub crenarchaeoteub crenarchaeoteub crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGub euryarchaeoteub euryarchaeoteub euryarchaeoteub euryarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG,121,245,0,44,123,116,237,365,75,267,393,123
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1|Unknown Order|Unknown Family|Candidatus Nitrosotaleaub archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1ub thaumarchaeoteub thaumarchaeoteub thaumarchaeoteub thaumarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Woesearchaeota DHVEG-6,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Acidobacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Edaphobacterub,0,0,0,0,27,0,0,0,13,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Edaphobacter,0,0,0,0,0,0,0,0,0,0,52,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1ubub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,17,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1ubub Acidobacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1ubub forest soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1ubub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1ub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|11-24ub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|11-24ub Acidobacteriales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|11-24ub,26,0,0,0,0,0,67,85,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|11-24,78,441,192,0,0,0,165,235,138,0,73,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|Aridibacterub,0,115,0,0,0,0,0,164,0,54,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|BlastocatellaAmt,0,0,0,0,0,0,34,161,54,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|Blastocatellaub Acidobacteria bacterium,0,0,0,0,0,0,0,0,22,41,70,36
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|Blastocatella,163,213,0,47,51,119,159,0,0,0,0,1
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|DS-100ub,0,0,0,0,0,0,28,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41Amt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub Acidobacterium sp.,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub,72,0,0,0,0,0,0,0,209,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41ub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4|RB41,267,204,626,0,0,125,57,339,146,105,371,129
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4ubub,0,0,0,0,0,0,0,0,25,0,0,33
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4ub,0,0,0,0,47,61,40,0,0,42,78,0
Bacteria|Acidobacteria|Blastocatellia|Blastocatellales|Blastocatellaceae Subgroup 4,56,31,0,0,0,0,0,72,0,61,0,0
Bacteria|Acidobacteria|Holophagae|Holophagales|Holophagaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19ub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19ubub,463,0,0,0,0,0,130,0,74,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|ABS-19,282,0,0,0,56,0,0,106,99,0,58,0
Bacteria|Acidobacteria|Holophagae|Subgroup 10|CA002,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Holophagae|Subgroup 7,0,0,0,0,0,56,111,36,26,156,0,120
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|AKIW659ub,0,23,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacterub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacterub soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Bryobacter,0,61,261,271,46,173,0,121,0,444,327,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Candidatus SolibacterAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Candidatus Solibacter,0,0,0,0,58,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|PAUC26f,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Paludibaculumub,0,0,0,66,62,71,0,0,0,42,65,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3,0,0,0,0,3,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 11,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 12ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 15ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 17,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 18ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22ub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 25ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 25ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2ub forest soil bacteriumub forest soil bacteriumub forest soil bacteriumub forest soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 5,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 6ub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacterium,0,0,0,0,43,0,0,0,0,0,0,59
Bacteria|Acidobacteria|Subgroup 6,104,103,274,0,0,81,0,84,0,82,60,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|CL500-29 marine groupAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|AcidimicrobialesubAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesubub Actinomycetales bacteriumub Actinomycetales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesubub actinobacteriumub actinobacterium,0,0,0,0,32,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobialesub,0,83,163,62,0,147,0,146,0,0,0,0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales,0,0,0,0,0,0,0,0,0,0,0,367
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium intracellulare,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium,118,158,106,143,62,95,150,0,114,145,57,0
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|RhodococcusAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Acidothermaceae|Acidothermusub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Acidothermaceae|Acidothermus,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Jatrophihabitansub,0,0,0,272,286,468,0,0,69,132,396,296
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|BlastococcusAmt,0,0,0,87,0,0,0,0,0,30,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|Blastococcusub,0,0,0,0,0,0,0,0,0,86,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|Blastococcus,0,0,0,2,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|Geodermatophilusub,0,0,0,196,0,0,223,0,0,142,123,82
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|Geodermatophilus,0,0,203,122,161,0,0,0,0,87,164,2
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Geodermatophilaceae|Modestobacter,0,0,0,0,0,0,0,0,0,74,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankialesububub,0,0,0,75,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Frankiales,0,0,0,14,0,0,0,0,0,0,0,224
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae,0,86,0,1,0,56,0,0,0,234,136,97
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|JanibacterAmt,0,0,0,0,0,0,0,0,0,88,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Janibacter,0,0,0,53,41,0,0,0,0,0,0,223
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|TerrabacterAmt,0,0,0,0,0,0,0,0,0,0,92,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Terrabacter,136,0,0,0,0,0,108,0,44,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae,0,0,236,0,35,0,0,0,0,163,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Amnibacteriumub,0,0,0,68,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Microbacterium,90,104,166,0,0,0,67,0,0,148,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae,0,0,0,0,0,0,0,0,0,65,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|PaenarthrobacterAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|SinomonasAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae,133,0,0,0,0,0,0,0,103,74,129,105
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|MicromonosporaceaeAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|MicromonosporaAmt,0,0,0,0,0,0,0,85,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora,0,0,0,0,0,0,0,0,106,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae,0,193,253,0,0,0,0,102,90,127,74,134
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|AeromicrobiumAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|KribbellaAmt,0,0,0,0,0,0,0,0,140,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Marmoricolaub,0,92,255,79,0,0,69,0,167,30,84,64
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Marmoricola,0,0,0,0,77,0,0,0,0,103,119,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|NocardioidesAmt,94,0,201,0,0,0,176,0,168,110,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioidesub,0,0,0,0,0,0,69,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioidesub organism,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides,307,0,0,0,99,0,251,0,71,288,0,210
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Microlunatusub,122,155,228,0,0,0,134,0,201,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Crossiellaub,0,0,0,0,143,52,35,0,0,0,83,57
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Crossiella,0,0,0,0,0,0,0,0,0,0,0,2
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardiaub,0,0,0,0,0,0,0,0,0,0,72,0
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia,0,0,100,0,0,0,18,0,157,0,0,40
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces,139,0,0,0,0,0,0,157,225,0,84,146
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|ActinoallomurusAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108ub Micromonospora sp.ub Micromonospora sp.ub Micromonospora sp.ub Micromonospora sp.,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108ub actinobacteriumub actinobacteriumub actinobacteriumub actinobacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteriaceae|RubrobacterAmt,0,0,137,0,0,0,0,56,0,0,0,0
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteriaceae|Rubrobacter,0,44,0,0,0,0,0,0,37,0,0,0
Bacteria|Actinobacteria|TakashiAC-B11ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae|GaiellaAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiellaub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella,0,0,101,90,0,0,0,86,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|GaiellalesubAmtAmt,0,0,0,162,244,91,0,0,0,210,259,353
Bacteria|Actinobacteria|Thermoleophilia|Gaiellalesubub Solirubrobacter sp.ub Solirubrobacter sp.,0,0,0,0,0,0,0,0,0,0,0,129
Bacteria|Actinobacteria|Thermoleophilia|Gaiellalesubub organismub organism,35,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Gaiellalesub,0,0,0,171,0,74,19,0,0,0,111,492
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales,0,0,0,0,0,0,51,0,0,0,0,175
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|0319-6M6ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|0319-6M6,0,0,0,0,0,111,0,0,0,0,0,246
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|288-2ubub,0,0,211,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae|Conexibacterub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Elev-16S-1332AmtAmt,0,2,4,0,0,0,84,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Elev-16S-1332ub actinobacteriumub actinobacterium,2,0,86,0,0,0,0,157,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Elev-16S-1332ubub,211,135,0,0,0,0,88,318,0,0,48,108
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Elev-16S-1332,0,83,64,0,51,0,0,135,4,104,51,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|FCPU744ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|FFCH11085ubub,0,78,0,0,0,0,62,0,51,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Gsoil-1167ubub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Solirubrobacterub,0,0,0,0,0,0,96,0,0,187,147,177
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Solirubrobacter,145,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|TM146AmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|YNPFFP1ubub,0,0,0,0,0,66,0,0,0,160,163,130
